R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
10,0.84,Tailored Approach,2.5555555555555554,0.3,0.85,1.0,9.0,0.35,0.4633333333333333,0.36666666666666664,0.7093333333333333,1.806058496421113
1,0.4066666666666667,CPI,1.0,0.2,0.7,,,,,,,
2,0.5166666666666667,CPI,1.2129032258064516,0.2,0.7,,,,,,,
3,0.5866666666666667,CPI,1.4261363636363635,0.2,0.7,,,,,,,
4,0.6266666666666667,CPI,1.5904255319148937,0.2,0.7,,,,,,,
5,0.66,CPI,1.7626262626262625,0.2,0.7,,,,,,,
6,0.69,CPI,1.9468599033816425,0.2,0.7,,,,,,,
7,0.7166666666666667,CPI,2.1348837209302327,0.2,0.7,,,,,,,
8,0.7333333333333333,CPI,2.268181818181818,0.2,0.7,,,,,,,
9,0.75,CPI,2.417777777777778,0.2,0.7,,,,,,,
10,0.77,CPI,2.6147186147186146,0.2,0.7,,,,,,,
1,0.43666666666666665,Tailored Approach,1.0,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
2,0.55,Tailored Approach,1.206060606060606,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
3,0.65,Tailored Approach,1.4820512820512821,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
4,0.7066666666666667,Tailored Approach,1.6839622641509433,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
5,0.73,Tailored Approach,1.7899543378995433,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
6,0.7633333333333333,Tailored Approach,1.9737991266375545,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
7,0.78,Tailored Approach,2.0811965811965814,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
8,0.8,Tailored Approach,2.2291666666666665,0.2,0.7,1.0,9.0,0.35,0.4633333333333333,0.4066666666666667,0.7073333333333333,1.837168315641081
