,Method,R_e,A@e,RA@e,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
107,KMeans,8,0.84,1.996031746031746,1,50.0,KMeans,,,,
108,KMeans,9,0.8533333333333334,2.10546875,1,50.0,KMeans,,,,
109,KMeans,10,0.8633333333333333,2.1969111969111967,1,50.0,KMeans,,,,
110,Birch,1,0.5766666666666667,1.0,1,10.0,Birch,,,,
111,Birch,2,0.6433333333333333,1.1036269430051813,1,10.0,Birch,,,,
112,Birch,3,0.68,1.2058823529411764,1,10.0,Birch,,,,
113,Birch,4,0.71,1.323943661971831,1,10.0,Birch,,,,
114,Birch,5,0.7266666666666667,1.408256880733945,1,10.0,Birch,,,,
115,Birch,6,0.75,1.551111111111111,1,10.0,Birch,,,,
116,Birch,7,0.7766666666666666,1.738197424892704,1,10.0,Birch,,,,
117,Birch,8,0.7933333333333333,1.8697478991596639,1,10.0,Birch,,,,
118,Birch,9,0.81,2.016460905349794,1,10.0,Birch,,,,
119,Birch,10,0.82,2.113821138211382,1,10.0,Birch,,,,
120,Birch,1,0.58,1.0,1,15.0,Birch,,,,
121,Birch,2,0.6266666666666667,1.074468085106383,1,15.0,Birch,,,,
122,Birch,3,0.6633333333333333,1.1809045226130652,1,15.0,Birch,,,,
123,Birch,4,0.6933333333333334,1.3028846153846154,1,15.0,Birch,,,,
124,Birch,5,0.72,1.4398148148148149,1,15.0,Birch,,,,
125,Birch,6,0.7366666666666667,1.5429864253393666,1,15.0,Birch,,,,
126,Birch,7,0.77,1.7792207792207793,1,15.0,Birch,,,,
127,Birch,8,0.8,2.0125,1,15.0,Birch,,,,
128,Birch,9,0.8266666666666667,2.2379032258064515,1,15.0,Birch,,,,
129,Birch,10,0.84,2.361111111111111,1,15.0,Birch,,,,
130,Birch,1,0.59,1.0,1,20.0,Birch,,,,
131,Birch,2,0.63,1.0634920634920635,1,20.0,Birch,,,,
132,Birch,3,0.6566666666666666,1.1421319796954315,1,20.0,Birch,,,,
133,Birch,4,0.68,1.2401960784313726,1,20.0,Birch,,,,
134,Birch,5,0.71,1.3990610328638498,1,20.0,Birch,,,,
135,Birch,6,0.73,1.5251141552511416,1,20.0,Birch,,,,
136,Birch,7,0.76,1.7412280701754386,1,20.0,Birch,,,,
137,Birch,8,0.7933333333333333,2.004201680672269,1,20.0,Birch,,,,
138,Birch,9,0.8233333333333334,2.2591093117408905,1,20.0,Birch,,,,
139,Birch,10,0.8333333333333334,2.352,1,20.0,Birch,,,,
140,Birch,1,0.59,1.0,1,25.0,Birch,,,,
141,Birch,2,0.63,1.0634920634920635,1,25.0,Birch,,,,
142,Birch,3,0.67,1.1791044776119404,1,25.0,Birch,,,,
143,Birch,4,0.6966666666666667,1.2870813397129186,1,25.0,Birch,,,,
144,Birch,5,0.7166666666666667,1.3906976744186046,1,25.0,Birch,,,,
145,Birch,6,0.7366666666666667,1.5158371040723981,1,25.0,Birch,,,,
146,Birch,7,0.7566666666666667,1.6607929515418502,1,25.0,Birch,,,,
147,Birch,8,0.79,1.9282700421940928,1,25.0,Birch,,,,
148,Birch,9,0.8133333333333334,2.1311475409836067,1,25.0,Birch,,,,
149,Birch,10,0.8233333333333334,2.2267206477732793,1,25.0,Birch,,,,
150,Birch,1,0.59,1.0,1,26.0,Birch,,,,
151,Birch,2,0.6266666666666667,1.0585106382978724,1,26.0,Birch,,,,
152,Birch,3,0.6633333333333333,1.1658291457286432,1,26.0,Birch,,,,
153,Birch,4,0.69,1.2753623188405796,1,26.0,Birch,,,,
154,Birch,5,0.71,1.380281690140845,1,26.0,Birch,,,,
155,Birch,6,0.7333333333333333,1.5272727272727273,1,26.0,Birch,,,,
156,Birch,7,0.7566666666666667,1.696035242290749,1,26.0,Birch,,,,
157,Birch,8,0.7933333333333333,1.9873949579831933,1,26.0,Birch,,,,
158,Birch,9,0.8066666666666666,2.103305785123967,1,26.0,Birch,,,,
159,Birch,10,0.8166666666666667,2.2,1,26.0,Birch,,,,
160,Birch,1,0.5966666666666667,1.0,1,30.0,Birch,,,,
161,Birch,2,0.6333333333333333,1.0578947368421052,1,30.0,Birch,,,,
162,Birch,3,0.6666666666666666,1.155,1,30.0,Birch,,,,
163,Birch,4,0.6933333333333334,1.2644230769230769,1,30.0,Birch,,,,
164,Birch,5,0.7166666666666667,1.386046511627907,1,30.0,Birch,,,,
165,Birch,6,0.7433333333333333,1.5515695067264574,1,30.0,Birch,,,,
166,Birch,7,0.7633333333333333,1.6943231441048034,1,30.0,Birch,,,,
167,Birch,8,0.7933333333333333,1.9327731092436975,1,30.0,Birch,,,,
168,Birch,9,0.8066666666666666,2.049586776859504,1,30.0,Birch,,,,
169,Birch,10,0.8166666666666667,2.146938775510204,1,30.0,Birch,,,,
170,Birch,1,0.6,1.0,1,35.0,Birch,,,,
171,Birch,2,0.6333333333333333,1.0526315789473684,1,35.0,Birch,,,,
172,Birch,3,0.6733333333333333,1.1683168316831682,1,35.0,Birch,,,,
173,Birch,4,0.6966666666666667,1.263157894736842,1,35.0,Birch,,,,
174,Birch,5,0.7233333333333334,1.400921658986175,1,35.0,Birch,,,,
175,Birch,6,0.75,1.5644444444444445,1,35.0,Birch,,,,
176,Birch,7,0.7633333333333333,1.6593886462882097,1,35.0,Birch,,,,
177,Birch,8,0.7866666666666666,1.847457627118644,1,35.0,Birch,,,,
178,Birch,9,0.8033333333333333,1.995850622406639,1,35.0,Birch,,,,
179,Birch,10,0.8166666666666667,2.126530612244898,1,35.0,Birch,,,,
180,Birch,1,0.6033333333333334,1.0,1,40.0,Birch,,,,
181,Birch,2,0.6466666666666666,1.0670103092783505,1,40.0,Birch,,,,
182,Birch,3,0.68,1.161764705882353,1,40.0,Birch,,,,
183,Birch,4,0.7,1.2428571428571429,1,40.0,Birch,,,,
184,Birch,5,0.72,1.3472222222222223,1,40.0,Birch,,,,
185,Birch,6,0.7533333333333333,1.5530973451327434,1,40.0,Birch,,,,
186,Birch,7,0.7766666666666666,1.7167381974248928,1,40.0,Birch,,,,
187,Birch,8,0.8,1.9,1,40.0,Birch,,,,
188,Birch,9,0.8166666666666667,2.0448979591836736,1,40.0,Birch,,,,
189,Birch,10,0.8233333333333334,2.1093117408906883,1,40.0,Birch,,,,
190,Birch,1,0.6033333333333334,1.0,1,45.0,Birch,,,,
191,Birch,2,0.6433333333333333,1.0621761658031088,1,45.0,Birch,,,,
192,Birch,3,0.6733333333333333,1.1485148514851484,1,45.0,Birch,,,,
193,Birch,4,0.6966666666666667,1.244019138755981,1,45.0,Birch,,,,
194,Birch,5,0.7166666666666667,1.3488372093023255,1,45.0,Birch,,,,
195,Birch,6,0.7566666666666667,1.5947136563876652,1,45.0,Birch,,,,
196,Birch,7,0.7833333333333333,1.778723404255319,1,45.0,Birch,,,,
197,Birch,8,0.8033333333333333,1.933609958506224,1,45.0,Birch,,,,
198,Birch,9,0.8133333333333334,2.0204918032786887,1,45.0,Birch,,,,
199,Birch,10,0.82,2.0853658536585367,1,45.0,Birch,,,,
200,Birch,1,0.6033333333333334,1.0,1,50.0,Birch,,,,
201,Birch,2,0.6433333333333333,1.0621761658031088,1,50.0,Birch,,,,
202,Birch,3,0.67,1.1393034825870647,1,50.0,Birch,,,,
203,Birch,4,0.6933333333333334,1.2355769230769231,1,50.0,Birch,,,,
204,Birch,5,0.71,1.323943661971831,1,50.0,Birch,,,,
205,Birch,6,0.74,1.5135135135135136,1,50.0,Birch,,,,
206,Birch,7,0.7633333333333333,1.6812227074235808,1,50.0,Birch,,,,
207,Birch,8,0.7833333333333333,1.8425531914893618,1,50.0,Birch,,,,
208,Birch,9,0.8,1.9916666666666667,1,50.0,Birch,,,,
209,Birch,10,0.8066666666666666,2.0578512396694215,1,50.0,Birch,,,,
210,GMM,1,0.4766666666666667,1.0,1,,GMM,10.0,,,
