R_e,A@e,Method,RA@e,gini,p value,Run,SPH Executed,info loss,SPH A@1,CPI A@1,Avg Acc SPH+CPI,Avg RA
7,0.6066666666666667,Tailored Approach,2.6758241758241756,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
8,0.6366666666666667,Tailored Approach,2.926701570680628,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
9,0.6533333333333333,Tailored Approach,3.0816326530612246,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
10,0.6733333333333333,Tailored Approach,3.287128712871287,0.3,0.75,1.0,8.0,0.35,0.23333333333333334,0.18333333333333332,0.5193333333333333,2.2293056037800625
1,0.14666666666666667,CPI,1.0,0.3,0.85,,,,,,,
2,0.24333333333333335,CPI,1.3972602739726028,0.3,0.85,,,,,,,
3,0.30333333333333334,CPI,1.7142857142857142,0.3,0.85,,,,,,,
4,0.3466666666666667,CPI,2.0,0.3,0.85,,,,,,,
5,0.38666666666666666,CPI,2.310344827586207,0.3,0.85,,,,,,,
6,0.4166666666666667,CPI,2.576,0.3,0.85,,,,,,,
7,0.43,CPI,2.7131782945736433,0.3,0.85,,,,,,,
8,0.45666666666666667,CPI,3.021897810218978,0.3,0.85,,,,,,,
9,0.48,CPI,3.3125,0.3,0.85,,,,,,,
10,0.5033333333333333,CPI,3.622516556291391,0.3,0.85,,,,,,,
1,0.22,Tailored Approach,1.0,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
2,0.36666666666666664,Tailored Approach,1.4,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
3,0.46,Tailored Approach,1.7246376811594204,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
4,0.49666666666666665,Tailored Approach,1.8926174496644295,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
5,0.52,Tailored Approach,2.032051282051282,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
6,0.5566666666666666,Tailored Approach,2.2934131736526946,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
7,0.6033333333333334,Tailored Approach,2.657458563535912,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
8,0.63,Tailored Approach,2.8835978835978837,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
9,0.6466666666666666,Tailored Approach,3.0412371134020617,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
10,0.6666666666666666,Tailored Approach,3.25,0.3,0.85,1.0,8.0,0.35,0.23333333333333334,0.14666666666666667,0.5166666666666667,2.2175013147063685
1,0.2,CPI,1.0,0.2,0.7,,,,,,,
2,0.3233333333333333,CPI,1.3814432989690721,0.2,0.7,,,,,,,
3,0.37333333333333335,CPI,1.5982142857142858,0.2,0.7,,,,,,,
4,0.4,CPI,1.7583333333333333,0.2,0.7,,,,,,,
5,0.43666666666666665,CPI,2.030534351145038,0.2,0.7,,,,,,,
6,0.46,CPI,2.2318840579710146,0.2,0.7,,,,,,,
7,0.47333333333333333,CPI,2.3661971830985915,0.2,0.7,,,,,,,
8,0.49666666666666665,CPI,2.6308724832214767,0.2,0.7,,,,,,,
9,0.5233333333333333,CPI,2.9554140127388533,0.2,0.7,,,,,,,
10,0.5366666666666666,CPI,3.130434782608696,0.2,0.7,,,,,,,
