R_e,A@e,Method,gini,p value,Run,SPH Executed,info loss,SPH A@1,RF+B A@1,CPI A@1,Avg Acc SPH+CPI
3,0.45,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
4,0.5033333333333333,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
5,0.5466666666666666,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
6,0.5766666666666667,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
7,0.6133333333333333,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
8,0.6366666666666667,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
9,0.66,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
10,0.6766666666666666,Tailored Approach,0.3,0.9,1.0,9.0,0.25,0.24333333333333335,0.21,0.15,0.5239999999999999
1,0.13666666666666666,CPI,,,,,,,,,
2,0.18666666666666668,CPI,,,,,,,,,
3,0.22,CPI,,,,,,,,,
4,0.2633333333333333,CPI,,,,,,,,,
5,0.30333333333333334,CPI,,,,,,,,,
6,0.4166666666666667,CPI,,,,,,,,,
7,0.4533333333333333,CPI,,,,,,,,,
8,0.47333333333333333,CPI,,,,,,,,,
9,0.5066666666666667,CPI,,,,,,,,,
10,0.5466666666666666,CPI,,,,,,,,,
1,0.19,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
2,0.30666666666666664,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
3,0.45666666666666667,Tailored Approach,0.3,0.95,1.0,9.0,0.25,0.24333333333333335,0.21,0.13666666666666666,0.5193333333333333
