#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,max info loss,gini,p value,Method,Run
77.95,8.466807519806649,83.14999999999999,14.65,0.13300108418721868,11,11,0.2,0.2,0.8,SPH+CPI,1
77.95,8.487964825883338,83.14999999999999,14.649999999999999,0.1311537975273197,11,11,0.2,0.2,0.85,SPH+CPI,1
77.95000000000002,8.488522359280699,83.14999999999999,14.649999999999999,0.1307606291766274,11,11,0.2,0.2,0.9,SPH+CPI,1
91.70588235294115,8.439308377902297,83.14705882352945,17.235294117647058,0.16153235002686675,11,5,0.2,0.25,0.7,SPH+CPI,1
91.70588235294116,8.288406217227784,83.00000000000003,17.23529411764706,0.16112814144304247,11,5,0.2,0.25,0.75,SPH+CPI,1
91.70588235294116,8.288406217227784,83.00000000000003,17.23529411764706,0.16112814144304247,11,5,0.2,0.25,0.8,SPH+CPI,1
91.70588235294116,8.281101789378129,83.00000000000003,17.235294117647058,0.16000936700969587,11,5,0.2,0.25,0.85,SPH+CPI,1
91.70588235294116,8.281757711022081,83.00000000000003,17.235294117647058,0.15954681600888135,11,5,0.2,0.25,0.9,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.3,0.7,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.3,0.75,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.3,0.8,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.3,0.85,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.3,0.9,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.35,0.7,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.35,0.75,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.35,0.8,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.35,0.85,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.35,0.9,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.4,0.7,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.4,0.75,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.4,0.8,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.4,0.85,SPH+CPI,1
107.51724137931036,7.721011445028733,82.48275862068968,20.20689655172414,0.18336066443059734,11,0,0.2,0.4,0.9,SPH+CPI,1
60.44444444444446,7.41899469762668,82.19444444444447,12.388888888888884,0.1319638241258232,7,7,0.25,0.2,0.7,SPH+CPI,1
60.44444444444446,7.333483473244455,82.11111111111111,12.388888888888888,0.13173477259498945,7,7,0.25,0.2,0.75,SPH+CPI,1
60.44444444444446,7.332849500210055,82.11111111111111,12.388888888888888,0.13155826753342692,7,7,0.25,0.2,0.8,SPH+CPI,1
60.44444444444446,7.343913696511305,82.11111111111111,12.388888888888888,0.13042633513700036,7,7,0.25,0.2,0.85,SPH+CPI,1
60.44444444444446,7.34428538544288,82.11111111111111,12.388888888888888,0.13016422290320548,7,7,0.25,0.2,0.9,SPH+CPI,1
