,#Samples,missing,#Features,#Classes,Gini,#SPH,#CPI,Method,Run,n_clusters,algorithm,n_components,max info loss,gini,p value
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.3,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.3,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.3,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.3,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.35,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.35,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.35,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.35,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.35,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.4,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.4,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.4,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.4,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.3,0.4,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.3,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.3,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.3,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.3,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.3,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.35,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.35,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.35,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.35,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.35,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.4,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.4,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.4,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.4,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.35,0.4,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.3,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.3,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.3,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.3,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.3,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.35,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.35,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.35,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.35,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.35,0.9
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.4,0.7
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.4,0.75
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.4,0.8
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.4,0.85
0,73.17241379310344,6.535033749787457,81.37931034482759,14.724137931034482,0.15981223949737308,6,0,SPH+CPI,1,,,,0.4,0.4,0.9
0,750.0,24.014666666666667,100.0,84.0,0.3338730158730159,0,0,RF,1,,,,,,
