Method,R_e,A@e,RA@e,Run,n,f,max info loss,n_clusters,algorithm,n_components,gini,p value
KMeans,6,0.8133333333333334,2.4262295081967213,1,1050,100,,30.0,KMeans,,,
KMeans,7,0.8333333333333334,2.536,1,1050,100,,30.0,KMeans,,,
KMeans,8,0.85,2.6431372549019607,1,1050,100,,30.0,KMeans,,,
KMeans,9,0.87,2.789272030651341,1,1050,100,,30.0,KMeans,,,
KMeans,10,0.9033333333333333,3.055350553505535,1,1050,100,,30.0,KMeans,,,
KMeans,1,0.33666666666666667,1.0,1,1050,100,,35.0,KMeans,,,
KMeans,2,0.49,1.3129251700680271,1,1050,100,,35.0,KMeans,,,
KMeans,3,0.62,1.6666666666666667,1,1050,100,,35.0,KMeans,,,
KMeans,4,0.7233333333333334,2.0,1,1050,100,,35.0,KMeans,,,
KMeans,5,0.79,2.2531645569620253,1,1050,100,,35.0,KMeans,,,
KMeans,6,0.8333333333333334,2.448,1,1050,100,,35.0,KMeans,,,
KMeans,7,0.8466666666666667,2.5196850393700787,1,1050,100,,35.0,KMeans,,,
KMeans,8,0.86,2.604651162790698,1,1050,100,,35.0,KMeans,,,
KMeans,9,0.8766666666666667,2.726235741444867,1,1050,100,,35.0,KMeans,,,
KMeans,10,0.8866666666666667,2.808270676691729,1,1050,100,,35.0,KMeans,,,
KMeans,1,0.35333333333333333,1.0,1,1050,100,,40.0,KMeans,,,
KMeans,2,0.5033333333333333,1.2980132450331126,1,1050,100,,40.0,KMeans,,,
KMeans,3,0.6033333333333334,1.580110497237569,1,1050,100,,40.0,KMeans,,,
KMeans,4,0.69,1.8840579710144927,1,1050,100,,40.0,KMeans,,,
KMeans,5,0.76,2.1710526315789473,1,1050,100,,40.0,KMeans,,,
KMeans,6,0.8,2.3625,1,1050,100,,40.0,KMeans,,,
KMeans,7,0.82,2.475609756097561,1,1050,100,,40.0,KMeans,,,
KMeans,8,0.8433333333333334,2.6284584980237153,1,1050,100,,40.0,KMeans,,,
KMeans,9,0.8566666666666667,2.727626459143969,1,1050,100,,40.0,KMeans,,,
KMeans,10,0.8933333333333333,3.0261194029850746,1,1050,100,,40.0,KMeans,,,
KMeans,1,0.37,1.0,1,1050,100,,45.0,KMeans,,,
KMeans,2,0.5333333333333333,1.30625,1,1050,100,,45.0,KMeans,,,
KMeans,3,0.6233333333333333,1.5508021390374331,1,1050,100,,45.0,KMeans,,,
KMeans,4,0.69,1.78743961352657,1,1050,100,,45.0,KMeans,,,
KMeans,5,0.7466666666666667,2.03125,1,1050,100,,45.0,KMeans,,,
KMeans,6,0.78,2.200854700854701,1,1050,100,,45.0,KMeans,,,
KMeans,7,0.8,2.3208333333333333,1,1050,100,,45.0,KMeans,,,
KMeans,8,0.82,2.459349593495935,1,1050,100,,45.0,KMeans,,,
KMeans,9,0.8366666666666667,2.589641434262948,1,1050,100,,45.0,KMeans,,,
KMeans,10,0.8466666666666667,2.677165354330709,1,1050,100,,45.0,KMeans,,,
KMeans,1,0.33,1.0,1,1050,100,,50.0,KMeans,,,
KMeans,2,0.5166666666666667,1.3612903225806452,1,1050,100,,50.0,KMeans,,,
KMeans,3,0.6233333333333333,1.641711229946524,1,1050,100,,50.0,KMeans,,,
KMeans,4,0.7,1.9,1,1050,100,,50.0,KMeans,,,
KMeans,5,0.7666666666666667,2.1695652173913045,1,1050,100,,50.0,KMeans,,,
KMeans,6,0.7966666666666666,2.3138075313807533,1,1050,100,,50.0,KMeans,,,
KMeans,7,0.8266666666666667,2.4838709677419355,1,1050,100,,50.0,KMeans,,,
KMeans,8,0.84,2.5714285714285716,1,1050,100,,50.0,KMeans,,,
KMeans,9,0.8533333333333334,2.671875,1,1050,100,,50.0,KMeans,,,
KMeans,10,0.8666666666666667,2.7846153846153845,1,1050,100,,50.0,KMeans,,,
GMM,1,0.18,1.0,1,1050,100,,,GMM,10.0,,
GMM,2,0.31,1.4193548387096775,1,1050,100,,,GMM,10.0,,
GMM,3,0.39,1.7435897435897436,1,1050,100,,,GMM,10.0,,
GMM,4,0.46,2.0869565217391304,1,1050,100,,,GMM,10.0,,
GMM,5,0.49333333333333335,2.2837837837837838,1,1050,100,,,GMM,10.0,,
GMM,6,0.5166666666666667,2.4516129032258065,1,1050,100,,,GMM,10.0,,
GMM,7,0.5533333333333333,2.753012048192771,1,1050,100,,,GMM,10.0,,
GMM,8,0.57,2.9064327485380117,1,1050,100,,,GMM,10.0,,
GMM,9,0.5833333333333334,3.045714285714286,1,1050,100,,,GMM,10.0,,
GMM,10,0.59,3.1242937853107344,1,1050,100,,,GMM,10.0,,
GMM,1,0.30333333333333334,1.0,1,1050,100,,,GMM,15.0,,
GMM,2,0.4633333333333333,1.3453237410071943,1,1050,100,,,GMM,15.0,,
GMM,3,0.53,1.5534591194968554,1,1050,100,,,GMM,15.0,,
GMM,4,0.6166666666666667,1.8972972972972972,1,1050,100,,,GMM,15.0,,
GMM,5,0.71,2.3051643192488265,1,1050,100,,,GMM,15.0,,
GMM,6,0.7233333333333334,2.3732718894009217,1,1050,100,,,GMM,15.0,,
GMM,7,0.7366666666666667,2.4570135746606336,1,1050,100,,,GMM,15.0,,
GMM,8,0.75,2.5555555555555554,1,1050,100,,,GMM,15.0,,
GMM,9,0.7666666666666667,2.6956521739130435,1,1050,100,,,GMM,15.0,,
GMM,10,0.7933333333333333,2.9411764705882355,1,1050,100,,,GMM,15.0,,
GMM,1,0.31,1.0,1,1050,100,,,GMM,20.0,,
GMM,2,0.49333333333333335,1.3716216216216217,1,1050,100,,,GMM,20.0,,
GMM,3,0.58,1.6149425287356323,1,1050,100,,,GMM,20.0,,
GMM,4,0.6366666666666667,1.8272251308900525,1,1050,100,,,GMM,20.0,,
GMM,5,0.71,2.1549295774647885,1,1050,100,,,GMM,20.0,,
GMM,6,0.7366666666666667,2.2941176470588234,1,1050,100,,,GMM,20.0,,
GMM,7,0.7566666666666667,2.4185022026431717,1,1050,100,,,GMM,20.0,,
GMM,8,0.7733333333333333,2.538793103448276,1,1050,100,,,GMM,20.0,,
GMM,9,0.7933333333333333,2.7016806722689077,1,1050,100,,,GMM,20.0,,
GMM,10,0.8133333333333334,2.8811475409836067,1,1050,100,,,GMM,20.0,,
GMM,1,0.31,1.0,1,1050,100,,,GMM,25.0,,
GMM,2,0.48333333333333334,1.3586206896551725,1,1050,100,,,GMM,25.0,,
GMM,3,0.5566666666666666,1.5748502994011977,1,1050,100,,,GMM,25.0,,
GMM,4,0.63,1.8571428571428572,1,1050,100,,,GMM,25.0,,
GMM,5,0.71,2.211267605633803,1,1050,100,,,GMM,25.0,,
GMM,6,0.7266666666666667,2.2981651376146788,1,1050,100,,,GMM,25.0,,
GMM,7,0.7366666666666667,2.3619909502262444,1,1050,100,,,GMM,25.0,,
GMM,8,0.7566666666666667,2.511013215859031,1,1050,100,,,GMM,25.0,,
GMM,9,0.7633333333333333,2.567685589519651,1,1050,100,,,GMM,25.0,,
GMM,10,0.79,2.818565400843882,1,1050,100,,,GMM,25.0,,
GMM,1,0.3233333333333333,1.0,1,1050,100,,,GMM,26.0,,
GMM,2,0.48333333333333334,1.3310344827586207,1,1050,100,,,GMM,26.0,,
GMM,3,0.5866666666666667,1.625,1,1050,100,,,GMM,26.0,,
GMM,4,0.6766666666666666,1.9408866995073892,1,1050,100,,,GMM,26.0,,
GMM,5,0.7533333333333333,2.252212389380531,1,1050,100,,,GMM,26.0,,
GMM,6,0.7666666666666667,2.3173913043478263,1,1050,100,,,GMM,26.0,,
GMM,7,0.78,2.3974358974358974,1,1050,100,,,GMM,26.0,,
GMM,8,0.8033333333333333,2.5601659751037342,1,1050,100,,,GMM,26.0,,
GMM,9,0.8166666666666667,2.6653061224489796,1,1050,100,,,GMM,26.0,,
GMM,10,0.84,2.869047619047619,1,1050,100,,,GMM,26.0,,
GMM,1,0.31,1.0,1,1050,100,,,GMM,30.0,,
GMM,2,0.47,1.3404255319148937,1,1050,100,,,GMM,30.0,,
GMM,3,0.5566666666666666,1.598802395209581,1,1050,100,,,GMM,30.0,,
GMM,4,0.63,1.8783068783068784,1,1050,100,,,GMM,30.0,,
GMM,5,0.69,2.1497584541062804,1,1050,100,,,GMM,30.0,,
GMM,6,0.7166666666666667,2.2930232558139534,1,1050,100,,,GMM,30.0,,
GMM,7,0.73,2.3789954337899544,1,1050,100,,,GMM,30.0,,
GMM,8,0.7533333333333333,2.5530973451327434,1,1050,100,,,GMM,30.0,,
GMM,9,0.77,2.6926406926406927,1,1050,100,,,GMM,30.0,,
