Method,R_e,A@e,RA@e,Run,max info loss,n,f,mf,n_clusters,algorithm,n_components,gini,p value
RF+B,1,0.43333333333333335,1.0,1,,1050,100,0.2,,,,,
RF+B,2,0.5733333333333334,1.244186046511628,1,,1050,100,0.2,,,,,
RF+B,3,0.6633333333333333,1.4824120603015076,1,,1050,100,0.2,,,,,
RF+B,4,0.7133333333333334,1.658878504672897,1,,1050,100,0.2,,,,,
RF+B,5,0.7433333333333333,1.7937219730941705,1,,1050,100,0.2,,,,,
RF+B,6,0.7833333333333333,2.008510638297872,1,,1050,100,0.2,,,,,
RF+B,7,0.7966666666666666,2.092050209205021,1,,1050,100,0.2,,,,,
RF+B,8,0.8133333333333334,2.2131147540983607,1,,1050,100,0.2,,,,,
RF+B,9,0.8233333333333334,2.2955465587044532,1,,1050,100,0.2,,,,,
RF+B,10,0.8333333333333334,2.388,1,,1050,100,0.2,,,,,
KMeans,1,0.4633333333333333,1.0,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,2,0.6166666666666667,1.2486486486486486,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,3,0.6933333333333334,1.4423076923076923,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,4,0.76,1.6666666666666667,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,5,0.7866666666666666,1.7796610169491525,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,6,0.8033333333333333,1.8672199170124482,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,7,0.81,1.9094650205761317,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,8,0.83,2.0562248995983934,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,9,0.8466666666666667,2.1929133858267718,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,10,0.8866666666666667,2.545112781954887,1,,1050,100,0.2,10.0,KMeans,,,
KMeans,1,0.4766666666666667,1.0,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,2,0.63,1.2433862433862435,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,3,0.7133333333333334,1.4485981308411215,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,4,0.7933333333333333,1.7058823529411764,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,5,0.83,1.8514056224899598,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,6,0.8466666666666667,1.9330708661417322,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,7,0.8533333333333334,1.97265625,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,8,0.8633333333333333,2.0424710424710426,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,9,0.88,2.1742424242424243,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,10,0.9133333333333333,2.45985401459854,1,,1050,100,0.2,15.0,KMeans,,,
KMeans,1,0.4866666666666667,1.0,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,2,0.65,1.2512820512820513,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,3,0.7166666666666667,1.413953488372093,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,4,0.7933333333333333,1.6638655462184875,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,5,0.82,1.7723577235772359,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,6,0.8333333333333334,1.84,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,7,0.8366666666666667,1.8605577689243027,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,8,0.8466666666666667,1.9330708661417322,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,9,0.86,2.0426356589147288,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,10,0.8833333333333333,2.2528301886792454,1,,1050,100,0.2,20.0,KMeans,,,
KMeans,1,0.4766666666666667,1.0,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,2,0.6433333333333333,1.2590673575129534,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,3,0.73,1.4657534246575343,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,4,0.8133333333333334,1.7254098360655739,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,5,0.8233333333333334,1.7651821862348178,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,6,0.8466666666666667,1.8818897637795275,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,7,0.8533333333333334,1.921875,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,8,0.8633333333333333,1.9922779922779923,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,9,0.88,2.125,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,10,0.8966666666666666,2.2713754646840147,1,,1050,100,0.2,25.0,KMeans,,,
KMeans,1,0.4866666666666667,1.0,1,,1050,100,0.2,26.0,KMeans,,,
KMeans,2,0.64,1.2395833333333333,1,,1050,100,0.2,26.0,KMeans,,,
